date,ASML,NVDA,INTC,AMD,ARM,AMZN,AAPL,NET,MSFT,JPM,SPY,GS,MS,UBS,LMT,RTX,GE,BA,GD,PEP,KO,BATS.LON,SHEL.LON,USDEUR,ASML_USD_EUR,NVDA_USD_EUR,INTC_USD_EUR,AMD_USD_EUR,ARM_USD_EUR,AMZN_USD_EUR,AAPL_USD_EUR,NET_USD_EUR,MSFT_USD_EUR,JPM_USD_EUR,SPY_USD_EUR,GS_USD_EUR,MS_USD_EUR,UBS_USD_EUR,LMT_USD_EUR,RTX_USD_EUR,GE_USD_EUR,BA_USD_EUR,GD_USD_EUR,PEP_USD_EUR,KO_USD_EUR,GBPEUR,BATS.LON_GBP_EUR,SHEL.LON_GBP_EUR
2025-11-10,1038.79,199.05,38.45,243.98,154.84,248.4,269.43,240.53,505.039387491134,316.89,681.44,797.2,165.05,38.43,452.1,178.315393284809,311.94,194.81,349.49,142.62,70.52,41.64,28.427422999999997,0.8651,898.6572289999999,172.198155,33.263095,211.067098,133.952084,214.89084,233.083893,208.082503,436.90957411858,274.14153899999997,589.5137440000001,689.65772,142.78475500000002,33.245793,391.11171,154.26064673068828,269.859294,168.530131,302.343799,123.380562,61.006851999999995,1.1396,47.452943999999995,32.3958912508
2025-11-07,1016.96,188.15,38.13,233.54,152.38,244.41,268.211176165227,232.81,495.876815204239,314.21,670.97,786.34,162.36,38.31,458.35,176.26361587227,307.27,194.61,346.34,142.95,70.55,41.3,28.224335,0.8645,879.1619200000001,162.655675,32.963385,201.89533,131.73251,211.29244500000001,231.86856179483877,201.26424500000002,428.68550674406464,271.634545,580.053565,679.7909300000001,140.36022000000003,33.118995000000005,396.243575,152.37989592157743,265.634915,168.24034500000002,299.41093,123.580275,60.990475,1.13742,46.975446,32.1029231157
2025-11-06,1029.2,188.08,37.24,237.7,158.25,243.04,269.509922874411,225.9,496.156283640005,313.42,670.31,787.58,163.42,38.04,468.92,174.401080065743,305.27,196.5,340.3,141.58,69.06,41.59,28.234242,0.866,891.2872,162.87728,32.24984,205.8482,137.0445,210.47263999999998,233.39559320923993,195.6294,429.6713416322443,271.42172,580.4884599999999,682.0442800000001,141.52172,32.94264,406.08472,151.03133533693344,264.36382,170.169,294.6998,122.60828000000001,59.80596,1.13758,47.31195220000001,32.11870901436
2025-11-05,1043.75,195.21,38.38,256.33,160.19,250.2,269.879566168564,228.51,506.197185296449,311.68,677.58,793.09,165.18,38.37,473.14,173.305470767786,305.11,197.62,342.91,142.86,68.51,41.42,28.367983,0.87,908.0625,169.83270000000002,33.3906,223.00709999999998,139.3653,217.67399999999998,234.79522256665066,198.8037,440.3915512079106,271.1616,589.4946,689.9883,143.7066,33.381899999999995,411.6318,150.77575956797384,265.4457,171.92940000000002,298.3317,124.28820000000002,59.6037,1.13526,47.022469199999996,32.20503638058
2025-11-04,1030.14,198.69,37.03,250.05,160.73,249.32,269.77966257555,232.91,513.353573455168,309.25,675.24,790.83,164.01,37.87,484.98,174.909044376614,304.2,198.05,343.47,142.9,68.66,40.5,28.115360999999996,0.8708,897.0459120000002,173.019252,32.245724,217.74354000000002,139.963684,217.107856,234.92413017078894,202.818028,447.0282917647603,269.2949,587.998992,688.654764,142.819908,32.977196,422.320584,152.31079584315546,264.89736,172.46194000000003,299.093676,124.43732000000001,59.789128,1.13361,45.911205,31.871854383209996
2025-11-03,1066.82,206.88,39.5,259.65,168.68,254.0,268.790617004709,248.11,516.048447657195,309.35,683.34,785.52,163.65,37.97,487.94,176.333336463959,308.62,204.55,341.87,143.6,67.97,40.08,28.150034,0.8679,925.893078,179.551152,34.28205,225.35023499999997,146.39737200000002,220.4466,233.28337649838696,215.33466900000002,447.8784477216795,268.484865,593.070786,681.752808,142.031835,32.954163,423.483126,153.03970271707,267.851298,177.52894500000002,296.708973,124.63044,58.991163,1.14025,45.70122,32.0980762685
2025-10-31,1059.23,202.49,39.99,256.12,169.82,244.22,270.109344432497,253.3,516.826966871114,311.12,682.06,789.37,164.0,38.36,491.88,177.787508804884,308.95,201.02,344.9,146.09,68.9,39.04,28.209475,0.8668,918.140564,175.51833200000002,34.663332000000004,222.004816,147.199976,211.689896,234.1307797540884,219.56044,447.9856148838816,269.678816,591.209608,684.225916,142.1552,33.250448,426.361584,154.10621263207346,267.79786,174.24413600000003,298.95932,126.630812,59.72252,1.13993,44.502867200000004,32.15682683675001
2025-10-30,1075.45,202.89,40.16,254.84,165.45,222.86,271.138351440543,222.5,524.761874243752,309.44,679.83,790.16,164.258424242424,38.03,489.72,176.71181967598,310.75,200.08,344.66,147.55,68.98,38.94,28.561163999999998,0.8646,929.8340700000001,175.418694,34.722336,220.334664,143.04807,192.68475600000002,234.42621865549347,192.3735,453.709116471148,267.541824,587.781018,683.172336,142.01783359999982,32.880738,423.41191200000003,152.7850392918523,268.67445000000004,172.989168,297.993036,127.57173000000002,59.640108000000005,1.13695,44.27283299999999,32.47261540979999
2025-10-29,1070.84,207.04,41.34,264.33,170.39,230.3,269.439990359301,227.38,540.521897817833,305.51,687.39,783.06,163.035878787879,38.28,485.33,175.656050716131,314.28,213.58,343.48,146.16,68.35,39.2,28.486864,0.8618,922.8499119999999,178.42707199999998,35.626812,227.79959399999998,146.84210199999998,198.47254,232.20338369164563,195.956084,465.8217715394084,263.288518,592.392702,674.841108,140.50432033939413,32.989704,418.257394,151.3803845071617,270.846504,184.06324400000003,296.01106400000003,125.960688,58.90403,1.13697,44.569224000000006,32.388709762080005
2025-10-28,1050.65111119112,201.03,41.53,258.01,173.09,229.25,268.740665208202,223.99,541.040910627112,305.36,687.06,792.09,164.208727272727,39.09,485.77,177.956830241841,309.79,223.33,346.68,150.12,70.16,39.28,28.065827,0.8581,901.5637185131001,172.503843,35.636893,221.39838099999997,148.528529,196.719425,230.60636481515814,192.205819,464.2672054091248,262.029416,589.5661859999999,679.6924290000001,140.90750887272705,33.543129,416.83923699999997,152.70475603052375,265.830799,191.639473,297.486108,128.817972,60.20429599999999,1.1387,44.728136000000006,31.9585572049
